,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,Australia,Melbourne,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,2019-03-17,Australian Grand Prix,conventional,Practice 1,2019-03-15,Practice 2,2019-03-15,Practice 3,2019-03-16,Qualifying,2019-03-16,Race,2019-03-17,True,2019
1,2,Bahrain,Sakhir,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,2019-03-31,Bahrain Grand Prix,conventional,Practice 1,2019-03-29,Practice 2,2019-03-29,Practice 3,2019-03-30,Qualifying,2019-03-30,Race,2019-03-31,True,2019
2,3,China,Shanghai,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2019,2019-04-14,Chinese Grand Prix,conventional,Practice 1,2019-04-12,Practice 2,2019-04-12,Practice 3,2019-04-13,Qualifying,2019-04-13,Race,2019-04-14,True,2019
3,4,Azerbaijan,Baku,FORMULA 1 SOCAR AZERBAIJAN GRAND PRIX 2019,2019-04-28,Azerbaijan Grand Prix,conventional,Practice 1,2019-04-26,Practice 2,2019-04-26,Practice 3,2019-04-27,Qualifying,2019-04-27,Race,2019-04-28,True,2019
4,5,Spain,Montmeló,FORMULA 1 EMIRATES GRAN PREMIO DE ESPAÑA 2019,2019-05-12,Spanish Grand Prix,conventional,Practice 1,2019-05-10,Practice 2,2019-05-10,Practice 3,2019-05-11,Qualifying,2019-05-11,Race,2019-05-12,True,2019
5,6,Monaco,Monte-Carlo,FORMULA 1 GRAND PRIX DE MONACO 2019,2019-05-26,Monaco Grand Prix,conventional,Practice 1,2019-05-23,Practice 2,2019-05-23,Practice 3,2019-05-25,Qualifying,2019-05-25,Race,2019-05-26,True,2019
6,7,Canada,Montreal,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2019,2019-06-09,Canadian Grand Prix,conventional,Practice 1,2019-06-07,Practice 2,2019-06-07,Practice 3,2019-06-08,Qualifying,2019-06-08,Race,2019-06-09,True,2019
7,8,France,Le Castellet,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2019,2019-06-23,French Grand Prix,conventional,Practice 1,2019-06-21,Practice 2,2019-06-21,Practice 3,2019-06-22,Qualifying,2019-06-22,Race,2019-06-23,True,2019
8,9,Austria,Spielberg,FORMULA 1 MYWORLD GROSSER PREIS VON ÖSTERREICH 2019,2019-06-30,Austrian Grand Prix,conventional,Practice 1,2019-06-28,Practice 2,2019-06-28,Practice 3,2019-06-29,Qualifying,2019-06-29,Race,2019-06-30,True,2019
9,10,UK,Silverstone,FORMULA 1 ROLEX BRITISH GRAND PRIX 2019,2019-07-14,British Grand Prix,conventional,Practice 1,2019-07-12,Practice 2,2019-07-12,Practice 3,2019-07-13,Qualifying,2019-07-13,Race,2019-07-14,True,2019
10,11,Germany,Hockenheim,FORMULA 1 MERCEDES-BENZ GROSSER PREIS VON DEUTSCHLAND 2019,2019-07-28,German Grand Prix,conventional,Practice 1,2019-07-26,Practice 2,2019-07-26,Practice 3,2019-07-27,Qualifying,2019-07-27,Race,2019-07-28,True,2019
11,12,Hungary,Budapest,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,2019-08-04,Hungarian Grand Prix,conventional,Practice 1,2019-08-02,Practice 2,2019-08-02,Practice 3,2019-08-03,Qualifying,2019-08-03,Race,2019-08-04,True,2019
