,RoundNumber,Country,Location,OfficialEventName,EventDate,EventName,EventFormat,Session1,Session1Date,Session2,Session2Date,Session3,Session3Date,Session4,Session4Date,Session5,Session5Date,F1ApiSupport,Year
0,1,UK,Silverstone,,1950-05-13 00:00:00,British Grand Prix,conventional,Practice 1,1950-05-11,Practice 2,1950-05-11,Practice 3,1950-05-12,Qualifying,1950-05-12,Race,1950-05-13 00:00:00,False,1950
1,2,Monaco,Monte-Carlo,,1950-05-21 00:00:00,Monaco Grand Prix,conventional,Practice 1,1950-05-19,Practice 2,1950-05-19,Practice 3,1950-05-20,Qualifying,1950-05-20,Race,1950-05-21 00:00:00,False,1950
2,3,USA,Indianapolis,,1950-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1950-05-28,Practice 2,1950-05-28,Practice 3,1950-05-29,Qualifying,1950-05-29,Race,1950-05-30 00:00:00,False,1950
3,4,Switzerland,Bern,,1950-06-04 00:00:00,Swiss Grand Prix,conventional,Practice 1,1950-06-02,Practice 2,1950-06-02,Practice 3,1950-06-03,Qualifying,1950-06-03,Race,1950-06-04 00:00:00,False,1950
4,5,Belgium,Spa,,1950-06-18 00:00:00,Belgian Grand Prix,conventional,Practice 1,1950-06-16,Practice 2,1950-06-16,Practice 3,1950-06-17,Qualifying,1950-06-17,Race,1950-06-18 00:00:00,False,1950
5,6,France,Reims,,1950-07-02 00:00:00,French Grand Prix,conventional,Practice 1,1950-06-30,Practice 2,1950-06-30,Practice 3,1950-07-01,Qualifying,1950-07-01,Race,1950-07-02 00:00:00,False,1950
6,7,Italy,Monza,,1950-09-03 00:00:00,Italian Grand Prix,conventional,Practice 1,1950-09-01,Practice 2,1950-09-01,Practice 3,1950-09-02,Qualifying,1950-09-02,Race,1950-09-03 00:00:00,False,1950
7,1,Switzerland,Bern,,1951-05-27 00:00:00,Swiss Grand Prix,conventional,Practice 1,1951-05-25,Practice 2,1951-05-25,Practice 3,1951-05-26,Qualifying,1951-05-26,Race,1951-05-27 00:00:00,False,1951
8,2,USA,Indianapolis,,1951-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1951-05-28,Practice 2,1951-05-28,Practice 3,1951-05-29,Qualifying,1951-05-29,Race,1951-05-30 00:00:00,False,1951
9,3,Belgium,Spa,,1951-06-17 00:00:00,Belgian Grand Prix,conventional,Practice 1,1951-06-15,Practice 2,1951-06-15,Practice 3,1951-06-16,Qualifying,1951-06-16,Race,1951-06-17 00:00:00,False,1951
10,4,France,Reims,,1951-07-01 00:00:00,French Grand Prix,conventional,Practice 1,1951-06-29,Practice 2,1951-06-29,Practice 3,1951-06-30,Qualifying,1951-06-30,Race,1951-07-01 00:00:00,False,1951
11,5,UK,Silverstone,,1951-07-14 00:00:00,British Grand Prix,conventional,Practice 1,1951-07-12,Practice 2,1951-07-12,Practice 3,1951-07-13,Qualifying,1951-07-13,Race,1951-07-14 00:00:00,False,1951
12,6,Germany,Nürburg,,1951-07-29 00:00:00,German Grand Prix,conventional,Practice 1,1951-07-27,Practice 2,1951-07-27,Practice 3,1951-07-28,Qualifying,1951-07-28,Race,1951-07-29 00:00:00,False,1951
13,7,Italy,Monza,,1951-09-16 00:00:00,Italian Grand Prix,conventional,Practice 1,1951-09-14,Practice 2,1951-09-14,Practice 3,1951-09-15,Qualifying,1951-09-15,Race,1951-09-16 00:00:00,False,1951
14,8,Spain,Barcelona,,1951-10-28 00:00:00,Spanish Grand Prix,conventional,Practice 1,1951-10-26,Practice 2,1951-10-26,Practice 3,1951-10-27,Qualifying,1951-10-27,Race,1951-10-28 00:00:00,False,1951
15,1,Switzerland,Bern,,1952-05-18 00:00:00,Swiss Grand Prix,conventional,Practice 1,1952-05-16,Practice 2,1952-05-16,Practice 3,1952-05-17,Qualifying,1952-05-17,Race,1952-05-18 00:00:00,False,1952
16,2,USA,Indianapolis,,1952-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1952-05-28,Practice 2,1952-05-28,Practice 3,1952-05-29,Qualifying,1952-05-29,Race,1952-05-30 00:00:00,False,1952
17,3,Belgium,Spa,,1952-06-22 00:00:00,Belgian Grand Prix,conventional,Practice 1,1952-06-20,Practice 2,1952-06-20,Practice 3,1952-06-21,Qualifying,1952-06-21,Race,1952-06-22 00:00:00,False,1952
18,4,France,Rouen,,1952-07-06 00:00:00,French Grand Prix,conventional,Practice 1,1952-07-04,Practice 2,1952-07-04,Practice 3,1952-07-05,Qualifying,1952-07-05,Race,1952-07-06 00:00:00,False,1952
19,5,UK,Silverstone,,1952-07-19 00:00:00,British Grand Prix,conventional,Practice 1,1952-07-17,Practice 2,1952-07-17,Practice 3,1952-07-18,Qualifying,1952-07-18,Race,1952-07-19 00:00:00,False,1952
20,6,Germany,Nürburg,,1952-08-03 00:00:00,German Grand Prix,conventional,Practice 1,1952-08-01,Practice 2,1952-08-01,Practice 3,1952-08-02,Qualifying,1952-08-02,Race,1952-08-03 00:00:00,False,1952
21,7,Netherlands,Zandvoort,,1952-08-17 00:00:00,Dutch Grand Prix,conventional,Practice 1,1952-08-15,Practice 2,1952-08-15,Practice 3,1952-08-16,Qualifying,1952-08-16,Race,1952-08-17 00:00:00,False,1952
22,8,Italy,Monza,,1952-09-07 00:00:00,Italian Grand Prix,conventional,Practice 1,1952-09-05,Practice 2,1952-09-05,Practice 3,1952-09-06,Qualifying,1952-09-06,Race,1952-09-07 00:00:00,False,1952
23,1,Argentina,Buenos Aires,,1953-01-18 00:00:00,Argentine Grand Prix,conventional,Practice 1,1953-01-16,Practice 2,1953-01-16,Practice 3,1953-01-17,Qualifying,1953-01-17,Race,1953-01-18 00:00:00,False,1953
24,2,USA,Indianapolis,,1953-05-30 00:00:00,Indianapolis 500,conventional,Practice 1,1953-05-28,Practice 2,1953-05-28,Practice 3,1953-05-29,Qualifying,1953-05-29,Race,1953-05-30 00:00:00,False,1953
